Sample in Buffer,Sample in Window,TRIGGER,design_1_i/xlslice_bit0_Dout,design_1_i/xlslice_bit1_Dout,design_1_i/hier_0_test,design_1_i/hier_0_dout_mem,design_1_i/hier_0_dout_fifo,design_1_i/New_cdr_A_dout10b[9:0],design_1_i/dv_1[1:0],design_1_i/d_in_1[1:0],design_1_i/hier_0_address[13:0],design_1_i/address_counter_0_address[13:0],design_1_i/h_bert_Q[31:0]
7890,7890,0,0,0,1,0,1,1111111111,0,0,1713,0000,13199
7891,7891,0,0,0,1,1,0,1111111111,3,1,1714,0000,13199
7892,7892,0,0,0,1,0,1,1111111111,3,1,1715,0000,13200
7893,7893,0,0,0,1,1,0,1111111111,3,1,1716,0000,13201
7894,7894,0,0,0,1,0,0,1111111111,3,1,1717,0000,13202
7895,7895,0,0,0,1,0,1,1111111111,3,1,1718,0000,13203
7896,7896,0,0,0,1,1,0,1111111111,3,1,1719,0000,13203
7897,7897,0,0,0,1,0,1,1111111111,3,1,171a,0000,13204
7898,7898,0,0,0,1,1,1,1111111111,3,1,171b,0000,13205
7899,7899,0,0,0,1,1,0,1111111111,3,1,171c,0000,13206
7900,7900,0,0,0,1,0,1,1111111111,3,3,171d,0000,13206
7901,7901,0,0,0,1,1,0,1111111111,3,1,171e,0000,13207
7902,7902,0,0,0,1,0,1,1111111111,3,1,171f,0000,13208
7903,7903,0,0,0,1,1,1,1111111111,3,1,1720,0000,13209
7904,7904,0,0,0,1,1,0,1111111111,3,1,1721,0000,13210
7905,7905,0,0,0,1,0,1,1111111111,3,1,1722,0000,13210
7906,7906,0,0,0,1,1,0,1111111111,3,1,1723,0000,13211
7907,7907,0,0,0,1,0,1,1111111111,3,1,1724,0000,13212
7908,7908,0,0,0,1,1,1,1111111111,3,1,1725,0000,13213
7909,7909,0,0,0,1,1,0,1111111111,3,1,1726,0000,13214
7910,7910,0,0,0,1,0,1,1111111111,0,0,1727,0000,13214
7911,7911,0,0,0,1,1,0,1111111111,3,1,1728,0000,13215
7912,7912,0,0,0,1,0,1,1111111111,3,1,1729,0000,13216
7913,7913,0,0,0,1,1,1,1111111111,3,1,172a,0000,13217
7914,7914,0,0,0,1,1,0,1111111111,3,1,172b,0000,13218
7915,7915,0,0,0,1,0,1,1111111111,3,1,172c,0000,13218
7916,7916,0,0,0,1,1,0,1111111111,3,1,172d,0000,13219
7917,7917,0,0,0,1,0,1,1111111111,3,1,172e,0000,13220
7918,7918,0,0,0,1,1,1,1111111111,3,1,172f,0000,13221
7919,7919,0,0,0,1,1,0,1111111111,3,1,1730,0000,13222
7920,7920,0,0,0,1,0,1,1111111111,3,3,1731,0000,13222
7921,7921,0,0,0,1,1,0,1111111111,3,1,1732,0000,13223
7922,7922,0,0,0,1,0,1,1111111111,3,1,1733,0000,13224
7923,7923,0,0,0,1,1,1,1111111111,3,1,1734,0000,13225
7924,7924,0,0,0,1,1,0,1111111111,3,1,1735,0000,13226
7925,7925,0,0,0,1,0,1,1111111111,3,1,1736,0000,13226
7926,7926,0,0,0,1,1,0,1111111111,3,1,1737,0000,13227
7927,7927,0,0,0,1,0,1,1111111111,3,1,1738,0000,13228
7928,7928,0,0,0,1,1,1,1111111111,3,1,1739,0000,13229
7929,7929,0,0,0,1,1,0,1111111111,3,1,173a,0000,13230
7930,7930,0,0,0,1,0,1,1111111111,0,0,173b,0000,13230
7931,7931,0,0,0,1,1,0,1111111111,3,1,173c,0000,13231
7932,7932,0,0,0,1,0,1,1111111111,3,1,173d,0000,13232
7933,7933,0,0,0,1,1,1,1111111111,3,1,173e,0000,13233
7934,7934,0,0,0,1,1,0,1111111111,3,1,173f,0000,13234
7935,7935,0,0,0,1,0,1,1111111111,3,1,1740,0000,13234
7936,7936,0,0,0,1,1,0,1111111111,3,1,1741,0000,13235
7937,7937,0,0,0,1,0,1,1111111111,3,1,1742,0000,13236
7938,7938,0,0,0,1,1,1,1111111111,3,1,1743,0000,13237
7939,7939,0,0,0,1,1,0,1111111111,3,1,1744,0000,13238
7940,7940,0,0,0,1,0,1,1111111111,3,3,1745,0000,13238
7941,7941,0,0,0,1,1,0,1111111111,3,1,1746,0000,13239
7942,7942,0,0,0,1,0,1,1111111111,3,1,1747,0000,13240
7943,7943,0,0,0,1,1,1,1111111111,3,1,1748,0000,13241
7944,7944,0,0,0,1,1,0,1111111111,3,1,1749,0000,13242
7945,7945,0,0,0,1,0,1,1111111111,3,1,174a,0000,13242
7946,7946,0,0,0,1,1,0,1111111111,3,1,174b,0000,13243
7947,7947,0,0,0,1,0,1,1111111111,3,1,174c,0000,13244
7948,7948,0,0,0,1,1,1,1111111111,3,1,174d,0000,13245
